Project arc: key milestones and final outcomes		true	12	Exceeds Expectations	Describes what was originally scoped vs. what was delivered; identifies 3–4 significant milestones across all three terms; provides an honest, specific assessment of scope changes or descoped features with reasons; and includes a clear reflection on the agreed-upon outcome expectations (by project category) and an honest assessment of the gap between what was expected and what was actually achieved.	9.6	Meets Expectations	Milestones and outcomes are described but some are vague, the comparison between original scope and final delivery is superficial, or the reflection on outcome expectations is missing or generic.	2.4	Does Not Meet Expectations	Missing or limited to a generic summary of what was built; no reflection on outcome expectations.
Narrative coherence: synthesis across three terms		true	10	Exceeds Expectations	Reads as a coherent, synthesized story of three terms; identifies clear patterns across terms; focuses on the shape and arc of the work, not a term-by-term status list. Includes top 3 successes and top 3 challenges with non-generic descriptions.	8	Meets Expectations	Mostly coherent narrative; some sections drift into status updates or the term-to-term structure dominates over synthesis.	2	Does Not Meet Expectations	Primarily a status list or summary without meaningful synthesis.
Causal analysis: why things went the way they did		true	10	Exceeds Expectations	For most significant successes and challenges, provides plausible, grounded causes tied to specific decisions, behaviors, or circumstances, not just descriptions of what happened.	8	Meets Expectations	Some causal explanation exists but is thin, speculative, or only applied to a subset of the successes/challenges.	2	Does Not Meet Expectations	Little or no causal analysis; mostly describes what happened without explaining why.
Technical growth: engineering and tooling evolution		true	12	Exceeds Expectations	Clearly describes how technical approach and engineering practices evolved; identifies specific decisions (architecture, tooling, CI/CD, testing, code review) and whether they held up; acknowledges technical debt honestly; provides concrete "would do differently" insights.	9.6	Meets Expectations	Technical growth is described but at a high level; specifics about what changed or why are limited.	2.4	Does Not Meet Expectations	Technical growth section is missing or generic (e.g., "we learned a lot about the technology").
Team dynamics: collaboration, roles, and growth		true	10	Exceeds Expectations	Reflects meaningfully on how roles evolved, communication and coordination patterns that helped or hurt, how conflict or disagreement was handled, and what the team learned about working together, tied to concrete examples.	8	Meets Expectations	Team dynamics are mentioned but connections to concrete examples are light or the reflection is surface-level.	2	Does Not Meet Expectations	No meaningful team dynamics reflection; or reflection is entirely positive with no critical honesty.
Evidence examples: supporting artifacts		true	10	Exceeds Expectations	At least two lightweight artifacts directly reinforce key narrative claims; artifacts are clearly chosen to support the most significant successes or challenges; each includes a brief caption explaining what it shows and why it matters.	8	Meets Expectations	At least one artifact supports the narrative; relevance is partial, or artifacts lack context/captions.	2	Does Not Meet Expectations	Artifacts missing, unrelated to the narrative, or inaccessible.
Lessons learned: transferable career insights		true	10	Exceeds Expectations	At least three specific, transferable lessons; each is grounded in a concrete project experience and states clearly how it will be applied in the student's career or next project. Lessons feel earned, not generic.	8	Meets Expectations	Lessons exist but some are vague, generic, or not clearly tied to project experience.	2	Does Not Meet Expectations	Missing or lessons are too generic to be meaningful.
Writing: structure and readability		true	10	Exceeds Expectations	Concise, well-structured, polished; clear headings and bullets; within the expected 3–5 page range while remaining complete; media (if included) is legible and enhances readability.	8	Meets Expectations	Mostly clear with some structure; minor readability issues or slightly off-target length.	2	Does Not Meet Expectations	Hard to read; poorly structured; significantly over or under length.
Writing: professionalism and clarity		true	10	Exceeds Expectations	Professional tone; narrative claims are precise and easy to follow; lessons and insights are written in specific, verifiable language rather than vague generalities.	8	Meets Expectations	Generally clear; occasional ambiguity, inconsistent formatting, or awkward wording.	2	Does Not Meet Expectations	Unclear or unprofessional tone; claims are hard to evaluate or primarily composed of buzzwords.
Writing: accessibility		true	6	Exceeds Expectations	Images/screenshots are legible and include alt text and short captions explaining what the evidence shows and why it matters; links use descriptive text; private links include screenshots or snippets so graders can evaluate.	4.8	Meets Expectations	Some accessibility practices used; minor gaps (e.g., missing some alt text, captions lack context, or vague link text).	1.2	Does Not Meet Expectations	Missing alt text or captions; evidence not evaluable due to inaccessible or private links.
